bug_id,title,description,error_code,bug_category,bug_domain,tech_stack,severity,environment,developer_role,root_cause,suggested_fix,explanation,created_at
BUG_005319,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,401.0,Cloud Configuration Bug,Data,Spring Boot,Medium,Production,Security Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a security engineer due to its nature.,2025-03-24
BUG_005320,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,400.0,Memory Leak,DevOps,MongoDB,Low,Production,DevOps Engineer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a devops engineer due to its nature.,2025-02-06
BUG_005321,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,403.0,Authorization Bug,Web Development,Laravel,Medium,Development,QA Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a qa engineer due to its nature.,2025-04-29
BUG_005322,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,503.0,CI/CD Bug,DevOps,Flask,Critical,Development,Full-Stack Developer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-06-04
BUG_005323,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,,Authentication Bug,Backend Systems,MongoDB,High,Development,DevOps Engineer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a devops engineer due to its nature.,2026-01-27
BUG_005324,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,403.0,Authorization Bug,DevOps,Angular,Low,Staging,Frontend Developer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a frontend developer due to its nature.,2025-05-12
BUG_005325,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,,Security Vulnerability,Backend Systems,MongoDB,Medium,Staging,Backend Developer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a backend developer due to its nature.,2025-06-13
BUG_005326,API Bug detected in system,This issue relates to a api bug occurring in the application.,503.0,API Bug,DevOps,AWS,Low,Staging,QA Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a qa engineer due to its nature.,2025-12-08
BUG_005327,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,403.0,Deployment Bug,Mobile,PostgreSQL,Critical,Production,Security Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a security engineer due to its nature.,2025-11-17
BUG_005328,API Bug detected in system,This issue relates to a api bug occurring in the application.,503.0,API Bug,Web Development,AWS,Low,Development,Cloud Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-09-08
BUG_005329,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,503.0,UI Bug,Web Development,AWS,Critical,Staging,Data Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a data engineer due to its nature.,2025-03-19
BUG_005330,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,400.0,Backend Logic Bug,Cloud,React,Low,Development,QA Engineer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a qa engineer due to its nature.,2025-03-30
BUG_005331,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,503.0,Authentication Bug,Backend Systems,Vue,Critical,Production,Full-Stack Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-12-18
BUG_005332,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,403.0,Logging Bug,Data,Vue,Critical,Production,Backend Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a backend developer due to its nature.,2025-04-29
BUG_005333,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,403.0,Deployment Bug,Data,MongoDB,Low,Production,Cloud Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-07-18
BUG_005334,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,401.0,Concurrency Bug,Data,Docker,Low,Production,Cloud Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-02-09
BUG_005335,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,503.0,Performance Bug,Cloud,Angular,Low,Staging,Cloud Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-08-31
BUG_005336,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,,UI Bug,Mobile,Flask,Low,Staging,DevOps Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a devops engineer due to its nature.,2025-10-25
BUG_005337,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,400.0,UI Bug,Mobile,Angular,Low,Staging,QA Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a qa engineer due to its nature.,2025-05-22
BUG_005338,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,401.0,Frontend Routing Bug,Cloud,Vue,Medium,Staging,DevOps Engineer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a devops engineer due to its nature.,2026-01-11
BUG_005339,Database Bug detected in system,This issue relates to a database bug occurring in the application.,404.0,Database Bug,Web Development,MySQL,Critical,Production,Frontend Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a frontend developer due to its nature.,2025-11-06
BUG_005340,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,401.0,Authentication Bug,Web Development,Laravel,Critical,Development,DevOps Engineer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a devops engineer due to its nature.,2025-11-23
BUG_005341,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,500.0,Authentication Bug,DevOps,PostgreSQL,Critical,Staging,Cloud Engineer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-03-27
BUG_005342,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,,Monitoring Bug,Mobile,Django,Critical,Production,Full-Stack Developer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-06-12
BUG_005343,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,502.0,Frontend Routing Bug,Mobile,AWS,Critical,Production,Security Engineer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a security engineer due to its nature.,2025-12-06
BUG_005344,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,404.0,UI Bug,DevOps,Docker,Low,Staging,Data Engineer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a data engineer due to its nature.,2025-02-15
BUG_005345,UI Bug detected in system,This issue relates to a ui bug occurring in the application.,404.0,UI Bug,DevOps,Vue,Low,Development,Mobile Developer,Misconfiguration or logic issue related to ui bug,Review and fix the ui bug according to best practices,This bug requires a mobile developer due to its nature.,2025-07-23
BUG_005346,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,403.0,Authentication Bug,DevOps,PostgreSQL,Low,Production,Mobile Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a mobile developer due to its nature.,2025-10-21
BUG_005347,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,,Authorization Bug,Web Development,AWS,Medium,Staging,QA Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a qa engineer due to its nature.,2025-05-02
BUG_005348,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,503.0,Security Vulnerability,Backend Systems,AWS,Critical,Staging,Backend Developer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a backend developer due to its nature.,2026-01-25
BUG_005349,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,404.0,Concurrency Bug,Web Development,Django,Low,Development,DevOps Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a devops engineer due to its nature.,2025-02-24
BUG_005350,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,500.0,Cloud Configuration Bug,Web Development,Django,Critical,Production,Full-Stack Developer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-06-22
BUG_005351,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,500.0,Concurrency Bug,Web Development,Django,Critical,Staging,Security Engineer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-04
BUG_005352,Database Bug detected in system,This issue relates to a database bug occurring in the application.,500.0,Database Bug,Web Development,Docker,Medium,Development,DevOps Engineer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a devops engineer due to its nature.,2025-06-16
BUG_005353,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,401.0,Authorization Bug,Backend Systems,AWS,Low,Development,Data Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a data engineer due to its nature.,2026-01-29
BUG_005354,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,502.0,Memory Leak,DevOps,MongoDB,High,Staging,Security Engineer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a security engineer due to its nature.,2025-06-20
BUG_005355,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,503.0,Backend Logic Bug,Data,Vue,Critical,Staging,Frontend Developer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a frontend developer due to its nature.,2025-11-23
BUG_005356,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,400.0,Deployment Bug,Web Development,GCP,Medium,Development,Frontend Developer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a frontend developer due to its nature.,2025-08-26
BUG_005357,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,403.0,Memory Leak,Mobile,Laravel,Critical,Staging,Backend Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a backend developer due to its nature.,2025-07-10
BUG_005358,Database Bug detected in system,This issue relates to a database bug occurring in the application.,401.0,Database Bug,DevOps,Spring Boot,Medium,Production,Mobile Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a mobile developer due to its nature.,2025-03-09
BUG_005359,Database Bug detected in system,This issue relates to a database bug occurring in the application.,,Database Bug,Data,Django,High,Production,Cloud Engineer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a cloud engineer due to its nature.,2026-01-14
BUG_005360,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,400.0,Performance Bug,DevOps,Docker,High,Production,Cloud Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-09-12
BUG_005361,API Bug detected in system,This issue relates to a api bug occurring in the application.,401.0,API Bug,Mobile,Kubernetes,Critical,Development,Full-Stack Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-07-01
BUG_005362,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,502.0,Authorization Bug,Web Development,MongoDB,High,Production,QA Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a qa engineer due to its nature.,2025-10-20
BUG_005363,API Bug detected in system,This issue relates to a api bug occurring in the application.,400.0,API Bug,Data,Django,High,Development,Mobile Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a mobile developer due to its nature.,2025-02-26
BUG_005364,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,401.0,Memory Leak,Cloud,Vue,Medium,Development,Full-Stack Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a full-stack developer due to its nature.,2025-07-09
BUG_005365,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,403.0,Logging Bug,Mobile,Docker,Critical,Production,Cloud Engineer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-03-16
BUG_005366,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,404.0,CI/CD Bug,Cloud,Kubernetes,High,Staging,Security Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a security engineer due to its nature.,2025-12-13
BUG_005367,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,503.0,Cloud Configuration Bug,Cloud,MySQL,Medium,Production,Full-Stack Developer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-10-05
BUG_005368,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,404.0,Authentication Bug,Data,Node.js,Critical,Staging,Full-Stack Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-04-24
BUG_005369,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,401.0,Monitoring Bug,Data,Kubernetes,Medium,Staging,Frontend Developer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a frontend developer due to its nature.,2026-01-08
BUG_005370,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,400.0,CI/CD Bug,Mobile,AWS,Medium,Development,Cloud Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-05-23
BUG_005371,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,,Cloud Configuration Bug,Cloud,Kubernetes,Critical,Production,QA Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a qa engineer due to its nature.,2025-05-02
BUG_005372,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,403.0,Memory Leak,Mobile,Azure,High,Development,QA Engineer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a qa engineer due to its nature.,2025-11-18
BUG_005373,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,404.0,Cloud Configuration Bug,Mobile,Angular,Critical,Development,Backend Developer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a backend developer due to its nature.,2025-02-21
BUG_005374,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,503.0,Monitoring Bug,Web Development,MySQL,High,Production,Cloud Engineer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-06-24
BUG_005375,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,502.0,Authorization Bug,Backend Systems,React,Low,Staging,QA Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a qa engineer due to its nature.,2025-04-13
BUG_005376,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,404.0,Deployment Bug,Backend Systems,Laravel,Medium,Staging,DevOps Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a devops engineer due to its nature.,2025-08-05
BUG_005377,API Bug detected in system,This issue relates to a api bug occurring in the application.,401.0,API Bug,Cloud,Vue,Critical,Development,Backend Developer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a backend developer due to its nature.,2025-10-20
BUG_005378,API Bug detected in system,This issue relates to a api bug occurring in the application.,403.0,API Bug,Backend Systems,Docker,High,Development,DevOps Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a devops engineer due to its nature.,2025-09-11
BUG_005379,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,,Monitoring Bug,Cloud,PostgreSQL,Critical,Production,Full-Stack Developer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-11-06
BUG_005380,Database Bug detected in system,This issue relates to a database bug occurring in the application.,503.0,Database Bug,Data,GCP,Low,Production,Mobile Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a mobile developer due to its nature.,2025-04-06
BUG_005381,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,401.0,Frontend Routing Bug,Mobile,MySQL,Low,Production,Backend Developer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a backend developer due to its nature.,2025-03-28
BUG_005382,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,403.0,CI/CD Bug,Cloud,React,High,Production,Security Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a security engineer due to its nature.,2025-10-31
BUG_005383,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,503.0,Security Vulnerability,Web Development,Angular,Medium,Production,Data Engineer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a data engineer due to its nature.,2025-09-17
BUG_005384,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,400.0,CI/CD Bug,Backend Systems,Vue,Critical,Development,Cloud Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-11-01
BUG_005385,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,403.0,Backend Logic Bug,Mobile,Spring Boot,Critical,Development,Cloud Engineer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a cloud engineer due to its nature.,2026-01-20
BUG_005386,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,,Deployment Bug,Web Development,GCP,Medium,Staging,Cloud Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-07-06
BUG_005387,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,403.0,Performance Bug,Cloud,Vue,Critical,Production,QA Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a qa engineer due to its nature.,2025-06-04
BUG_005388,API Bug detected in system,This issue relates to a api bug occurring in the application.,401.0,API Bug,Mobile,MongoDB,Medium,Staging,DevOps Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a devops engineer due to its nature.,2025-08-03
BUG_005389,Database Bug detected in system,This issue relates to a database bug occurring in the application.,,Database Bug,Web Development,Kubernetes,Medium,Development,DevOps Engineer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a devops engineer due to its nature.,2025-05-19
BUG_005390,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,,Logging Bug,Data,Spring Boot,High,Production,Full-Stack Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-05-28
BUG_005391,Authentication Bug detected in system,This issue relates to a authentication bug occurring in the application.,503.0,Authentication Bug,Mobile,Node.js,Low,Staging,Mobile Developer,Misconfiguration or logic issue related to authentication bug,Review and fix the authentication bug according to best practices,This bug requires a mobile developer due to its nature.,2025-10-17
BUG_005392,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,400.0,Cloud Configuration Bug,Web Development,AWS,Medium,Development,DevOps Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a devops engineer due to its nature.,2025-07-10
BUG_005393,API Bug detected in system,This issue relates to a api bug occurring in the application.,400.0,API Bug,Backend Systems,MongoDB,Low,Staging,Security Engineer,Misconfiguration or logic issue related to api bug,Review and fix the api bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-05
BUG_005394,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,400.0,Backend Logic Bug,Backend Systems,React,Low,Production,Full-Stack Developer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-08-23
BUG_005395,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,503.0,Performance Bug,Cloud,React,Critical,Staging,Mobile Developer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a mobile developer due to its nature.,2025-08-06
BUG_005396,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,400.0,Frontend Routing Bug,Mobile,GCP,Medium,Staging,Security Engineer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a security engineer due to its nature.,2025-07-03
BUG_005397,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,403.0,Security Vulnerability,Mobile,PostgreSQL,High,Production,Security Engineer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a security engineer due to its nature.,2025-12-18
BUG_005398,Authorization Bug detected in system,This issue relates to a authorization bug occurring in the application.,404.0,Authorization Bug,Backend Systems,Kubernetes,Low,Staging,Data Engineer,Misconfiguration or logic issue related to authorization bug,Review and fix the authorization bug according to best practices,This bug requires a data engineer due to its nature.,2025-08-04
BUG_005399,Database Bug detected in system,This issue relates to a database bug occurring in the application.,503.0,Database Bug,Web Development,Flask,Critical,Development,Data Engineer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a data engineer due to its nature.,2025-04-21
BUG_005400,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,400.0,Cloud Configuration Bug,Cloud,PostgreSQL,Critical,Production,Data Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a data engineer due to its nature.,2025-02-03
BUG_005401,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,503.0,Cloud Configuration Bug,DevOps,MongoDB,Medium,Development,Data Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a data engineer due to its nature.,2025-07-20
BUG_005402,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,403.0,Concurrency Bug,Cloud,Flask,High,Development,Full-Stack Developer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a full-stack developer due to its nature.,2025-05-14
BUG_005403,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,503.0,Performance Bug,Cloud,MongoDB,Medium,Production,DevOps Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a devops engineer due to its nature.,2025-09-30
BUG_005404,Performance Bug detected in system,This issue relates to a performance bug occurring in the application.,403.0,Performance Bug,Cloud,GCP,Low,Development,DevOps Engineer,Misconfiguration or logic issue related to performance bug,Review and fix the performance bug according to best practices,This bug requires a devops engineer due to its nature.,2025-02-26
BUG_005405,Frontend Routing Bug detected in system,This issue relates to a frontend routing bug occurring in the application.,401.0,Frontend Routing Bug,DevOps,Laravel,Critical,Development,Data Engineer,Misconfiguration or logic issue related to frontend routing bug,Review and fix the frontend routing bug according to best practices,This bug requires a data engineer due to its nature.,2026-01-30
BUG_005406,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,403.0,Backend Logic Bug,DevOps,PostgreSQL,Critical,Development,Security Engineer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a security engineer due to its nature.,2025-05-28
BUG_005407,Logging Bug detected in system,This issue relates to a logging bug occurring in the application.,400.0,Logging Bug,Backend Systems,React,Critical,Production,Mobile Developer,Misconfiguration or logic issue related to logging bug,Review and fix the logging bug according to best practices,This bug requires a mobile developer due to its nature.,2025-10-29
BUG_005408,Concurrency Bug detected in system,This issue relates to a concurrency bug occurring in the application.,503.0,Concurrency Bug,DevOps,Laravel,Medium,Production,Frontend Developer,Misconfiguration or logic issue related to concurrency bug,Review and fix the concurrency bug according to best practices,This bug requires a frontend developer due to its nature.,2025-03-14
BUG_005409,Memory Leak detected in system,This issue relates to a memory leak occurring in the application.,503.0,Memory Leak,Mobile,Kubernetes,Medium,Staging,Mobile Developer,Misconfiguration or logic issue related to memory leak,Review and fix the memory leak according to best practices,This bug requires a mobile developer due to its nature.,2025-02-10
BUG_005410,Database Bug detected in system,This issue relates to a database bug occurring in the application.,,Database Bug,Data,GCP,Medium,Production,Mobile Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a mobile developer due to its nature.,2025-03-28
BUG_005411,Monitoring Bug detected in system,This issue relates to a monitoring bug occurring in the application.,503.0,Monitoring Bug,Cloud,Angular,Medium,Development,Data Engineer,Misconfiguration or logic issue related to monitoring bug,Review and fix the monitoring bug according to best practices,This bug requires a data engineer due to its nature.,2025-04-29
BUG_005412,Backend Logic Bug detected in system,This issue relates to a backend logic bug occurring in the application.,,Backend Logic Bug,Backend Systems,AWS,Low,Staging,Backend Developer,Misconfiguration or logic issue related to backend logic bug,Review and fix the backend logic bug according to best practices,This bug requires a backend developer due to its nature.,2025-04-16
BUG_005413,Deployment Bug detected in system,This issue relates to a deployment bug occurring in the application.,503.0,Deployment Bug,Cloud,Laravel,Critical,Development,Cloud Engineer,Misconfiguration or logic issue related to deployment bug,Review and fix the deployment bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-09-26
BUG_005414,Database Bug detected in system,This issue relates to a database bug occurring in the application.,503.0,Database Bug,Data,Laravel,Critical,Staging,Mobile Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a mobile developer due to its nature.,2025-04-23
BUG_005415,CI/CD Bug detected in system,This issue relates to a ci/cd bug occurring in the application.,400.0,CI/CD Bug,Mobile,Angular,Critical,Production,Cloud Engineer,Misconfiguration or logic issue related to ci/cd bug,Review and fix the ci/cd bug according to best practices,This bug requires a cloud engineer due to its nature.,2025-12-14
BUG_005416,Cloud Configuration Bug detected in system,This issue relates to a cloud configuration bug occurring in the application.,400.0,Cloud Configuration Bug,Backend Systems,Flask,Low,Production,Data Engineer,Misconfiguration or logic issue related to cloud configuration bug,Review and fix the cloud configuration bug according to best practices,This bug requires a data engineer due to its nature.,2025-05-14
BUG_005417,Database Bug detected in system,This issue relates to a database bug occurring in the application.,503.0,Database Bug,Cloud,Docker,High,Staging,Mobile Developer,Misconfiguration or logic issue related to database bug,Review and fix the database bug according to best practices,This bug requires a mobile developer due to its nature.,2025-08-24
BUG_005418,Security Vulnerability detected in system,This issue relates to a security vulnerability occurring in the application.,403.0,Security Vulnerability,Data,PostgreSQL,Critical,Development,Cloud Engineer,Misconfiguration or logic issue related to security vulnerability,Review and fix the security vulnerability according to best practices,This bug requires a cloud engineer due to its nature.,2025-11-15
