Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
324,"Brown, Goodwin and Contreras",Social Media,Decentralized governance of communities via DAOs.,2024,"Lake Mauriceside, Isle of Man",Seed,1.55,20.0,browngoodwinandcontreras.tech,https://linkedin.com/company/brown-goodwin-and-contreras,@browngoodwin9342,Leah Spencer,Blockchain,30.0
325,Cardenas-Barnes,IoT,Autonomous IoT cleaning robots for urban spaces.,2016,"Armstrongbury, Lebanon",Seed,4.56,13.0,cardenasbarnes.ai,,@cardenasbarn7977,James Nash,Edge Computing,
326,Shaw PLC,Blockchain,Blockchain-based supply chain ensuring provenance tracking.,2024,"North Stacy, Kiribati",Series B,20.58,122.0,shawplc.tech,https://linkedin.com/company/shaw-plc,@shawplc1939,William Stanton,Deep Learning,50.0
327,Martinez Group,Social Media,Mental health tools embedded into social platforms.,2013,"Lake Ryanberg, Syrian Arab Republic",IPO,469.81,1347.0,martinezgroup.tech,https://linkedin.com/company/martinez-group,@martinezgrou9706,Emma Acosta,Cloud Computing,30.0
328,Miller PLC,HealthTech,Symptom checkers powered by conversational AI.,2013,"Arnoldview, Mali",Series A,9.3,91.0,millerplc.com,https://linkedin.com/company/miller-plc,@millerplc4645,Shane Buchanan,Artificial Intelligence,15.0
329,"Matthews, Harrington and Rodriguez",Blockchain,Private blockchains for B2B transaction efficiency.,2021,"East Ashley, Myanmar",Series B,49.73,76.0,matthewsharringtonandrodriguez.tech,https://linkedin.com/company/matthews-harrington-and-rodriguez,@matthewsharr8370,Teresa Buckley,Deep Learning,60.0
330,"Chan, Floyd and Dillon",Gaming,Player-driven DAOs shaping community governance.,2020,"Natalieview, Hungary",Seed,0.77,29.0,chanfloydanddillon.tech,https://linkedin.com/company/chan-floyd-and-dillon,@chanfloydand6878,Laura Kennedy,5G,25.0
331,Hill and Sons,Gaming,Esports training simulators powered by AI analytics.,2011,"Williamsmouth, Portugal",,,,hillandsons.app,https://linkedin.com/company/hill-and-sons,@hillandsons2136,Patrick Mccall,Artificial Intelligence,5.0
332,Smith-Roth,CleanTech,IoT-powered efficiency for industrial sustainability.,2024,"Larryfort, Togo",Series D,284.61,987.0,smithroth.co,https://linkedin.com/company/smith-roth,@smithroth5743,Annette Melton,IoT,20.0
333,Turner Ltd,IoT,IoT-powered disaster management and early warnings.,2025,"Schroedermouth, Ethiopia",Seed,1.15,27.0,turnerltd.com,https://linkedin.com/company/turner-ltd,@turnerltd9470,Lisa Davis,Edge Computing,20.0
334,Lewis-Holloway,PropTech,Automated compliance for real estate regulations.,2011,"Malonestad, Swaziland",Private Equity,,719.0,lewisholloway.ai,https://linkedin.com/company/lewis-holloway,@lewishollowa8784,Rick Jones,Blockchain,120.0
335,"Hunter, Taylor and York",Cybersecurity,AI-powered fraud prevention for digital banking.,2025,"East Jamesborough, Taiwan",Series B,34.12,172.0,huntertaylorandyork.co,https://linkedin.com/company/hunter-taylor-and-york,@huntertaylor4158,Andrew Williams,Cybersecurity,70.0
336,Bush-Hill,HealthTech,AI-powered risk stratification in population health.,2015,"Wagnerville, Pitcairn Islands",Seed,3.57,8.0,bushhill.tech,https://linkedin.com/company/bush-hill,@bushhill6563,Jaime Wheeler,Edge Computing,80.0
337,Horne Group,AI & Machine Learning,Explainable AI models that foster trust and adoption.,2008,"Maxview, San Marino",Private Equity,420.46,1429.0,hornegroup.co,https://linkedin.com/company/horne-group,@hornegroup1445,Ann Johnson,Deep Learning,15.0
338,Martin PLC,Food Tech,Voice-enabled kitchen assistants for recipe guidance.,2024,"Port Jeffrey, Czech Republic",Private Equity,483.59,,martinplc.io,https://linkedin.com/company/martin-plc,,Debra Ortiz,IoT,150.0
339,Hancock Ltd,CleanTech,IoT-powered efficiency for industrial sustainability.,2024,"South Rhondaburgh, Netherlands Antilles",Series B,21.58,39.0,hancockltd.ai,https://linkedin.com/company/hancock-ltd,@hancockltd3920,Courtney Franklin,Computer Vision,5.0
340,Marquez-Fletcher,Cybersecurity,Identity federation simplifying secure enterprise access.,2014,"Rodneyfurt, Timor-Leste",Private Equity,381.62,,marquezfletcher.com,https://linkedin.com/company/marquez-fletcher,@marquezfletc9005,David Owens,Blockchain,70.0
341,"Meyer, Hanson and Silva",E-commerce,Cross-platform synchronization enabling omnichannel commerce.,2014,"New Yvonnestad, Monaco",Series C,78.47,,meyerhansonandsilva.io,https://linkedin.com/company/meyer-hanson-and-silva,@meyerhansona6671,Lisa Evans,Edge Computing,20.0
342,Olson LLC,FinTech,AI-powered liquidity management for institutions.,2025,"Danielleview, Eritrea",,,295.0,olsonllc.ai,https://linkedin.com/company/olson-llc,@olsonllc7255,Tiffany Curtis,Cybersecurity,100.0
343,Hernandez and Sons,PropTech,Smart thermostats enabling personalized climate.,2008,"Port Meredithfurt, Panama",IPO,332.04,2105.0,hernandezandsons.app,https://linkedin.com/company/hernandez-and-sons,@hernandezand3768,Charles Johnson,Cloud Computing,80.0
344,Bright-Green,Food Tech,Smart composting systems reducing food industry waste.,2017,"Sullivanton, Myanmar",Series C,,520.0,brightgreen.ai,https://linkedin.com/company/bright-green,@brightgreen1246,Laura Lee,Edge Computing,30.0
345,"Reeves, Parks and Little",SaaS,AI insight layers turning SaaS into decision systems.,2014,"Knoxstad, Madagascar",Series B,22.1,88.0,reevesparksandlittle.io,https://linkedin.com/company/reeves-parks-and-little,@reevesparksa4092,Christopher Sandoval,Deep Learning,90.0
346,"White, Davis and Anderson",Social Media,AR-enabled social shopping embedded in feeds.,2008,"Jessicaside, Serbia",IPO,587.33,,whitedavisandanderson.co,https://linkedin.com/company/white-davis-and-anderson,@whitedavisan6082,Theresa Lam,Augmented Reality,80.0
347,"Davis, Kelly and Garner",Mobility,Green logistics platforms optimizing last-mile delivery.,2024,"Robertmouth, Holy See (Vatican City State)",IPO,299.88,743.0,daviskellyandgarner.tech,https://linkedin.com/company/davis-kelly-and-garner,@daviskellyan6934,Edward York,Computer Vision,
348,Brown-Walters,Mobility,Hyperloop route optimization powered by simulation data.,2011,"South Pamelahaven, British Indian Ocean Territory (Chagos Archipelago)",Series A,10.28,11.0,brownwalters.app,https://linkedin.com/company/brown-walters,@brownwalters3453,Jane Evans,Augmented Reality,100.0
349,Pitts and Sons,SaaS,SaaS-native business intelligence for non-technical users.,2015,"East Matthew, Montenegro",,,176.0,pittsandsons.ai,https://linkedin.com/company/pitts-and-sons,@pittsandsons3014,Victoria Thomas,Deep Learning,
350,"White, Miller and Cook",E-commerce,Social-commerce integrations accelerating community-driven sales.,2022,"West Cynthia, Albania",Private Equity,,,whitemillerandcook.tech,https://linkedin.com/company/white-miller-and-cook,@whitemillera3745,Daniel Ayala,Edge Computing,20.0
351,"Duran, Burns and Gallagher",Mobility,AI copilots improving driver safety in real time.,2012,"East Christinachester, Iraq",Series B,10.49,64.0,duranburnsandgallagher.app,https://linkedin.com/company/duran-burns-and-gallagher,@duranburnsan8471,John Smith,IoT,80.0
352,"Gonzalez, Watson and Smith",Gaming,Cross-platform progression with unified accounts.,2013,"Katherinehaven, Comoros",Private Equity,,1175.0,gonzalezwatsonandsmith.app,https://linkedin.com/company/gonzalez-watson-and-smith,@gonzalezwats1578,Aaron Gross,Artificial Intelligence,150.0
353,Steele LLC,CleanTech,Tech-enabled climate risk modeling for infrastructure.,2008,"Davidfurt, Macao",Series C,72.13,410.0,steelellc.io,https://linkedin.com/company/steele-llc,@steelellc9452,Carol Colon,Quantum Computing,30.0
354,Fry-Bryant,CleanTech,Predictive maintenance for wind and solar farms.,2020,"Ryanberg, Guam",IPO,517.38,1672.0,frybryant.app,https://linkedin.com/company/fry-bryant,@frybryant5528,Katherine Christensen MD,Cloud Computing,120.0
355,Smith-Walker,FinTech,Smart treasury platforms for corporate finance teams.,2015,"East Jessica, Namibia",Series A,13.75,87.0,smithwalker.app,https://linkedin.com/company/smith-walker,@smithwalker6480,Barbara Dawson,Machine Learning,60.0
356,Brooks Ltd,Food Tech,Robotics in agriculture automating harvesting operations.,2021,"Kelseyton, Nepal",,,12.0,brooksltd.io,https://linkedin.com/company/brooks-ltd,@brooksltd3845,Mary Valdez MD,5G,60.0
357,"Wilson, Wallace and Martinez",HealthTech,Genomic sequencing workflows optimized with ML.,2010,"Thomasberg, Costa Rica",Seed,2.5,,wilsonwallaceandmartinez.co,https://linkedin.com/company/wilson-wallace-and-martinez,@wilsonwallac8585,Lorraine Turner,IoT,15.0
358,"Garcia, Meyer and Dean",IoT,Retail IoT tagging improving inventory visibility.,2015,"South Maria, Bosnia and Herzegovina",Private Equity,177.88,468.0,garciameyeranddean.tech,https://linkedin.com/company/garcia-meyer-and-dean,@garciameyera2796,Lisa Campbell,Quantum Computing,5.0
359,Jimenez PLC,Mobility,V2X (Vehicle-to-Everything) improving urban safety.,2016,"Port Jose, Mali",IPO,221.6,4717.0,jimenezplc.io,https://linkedin.com/company/jimenez-plc,@jimenezplc9681,Heather Ortiz,Cloud Computing,150.0
360,Williams Group,CleanTech,Fusion energy control supported by AI simulations.,2019,"Lake Sarah, Greenland",,,117.0,williamsgroup.com,https://linkedin.com/company/williams-group,@williamsgrou7240,Adam Davis,Augmented Reality,70.0
361,Conley Ltd,AI & Machine Learning,Hybrid AI approaches combining symbolic and neural reasoning.,2017,"Hernandezland, Slovakia (Slovak Republic)",Series A,2.15,71.0,conleyltd.ai,https://linkedin.com/company/conley-ltd,@conleyltd150,Misty Garcia,Big Data,120.0
362,Newman-Bryant,CleanTech,Autonomous drones for environmental surveillance.,2025,"Josephton, Bolivia",Series B,22.49,195.0,newmanbryant.co,https://linkedin.com/company/newman-bryant,@newmanbryant6200,Shelly Phelps,Blockchain,50.0
363,Solis-Edwards,PropTech,Sustainable asset tracking with carbon metrics.,2025,"North Melissaton, Algeria",Series C,79.55,193.0,solisedwards.io,https://linkedin.com/company/solis-edwards,@solisedwards4745,Mary Jackson,Cybersecurity,20.0
364,Kline-Friedman,Gaming,Immersive haptic tech redefining gaming sensations.,2008,"Natalieland, Holy See (Vatican City State)",Series B,,35.0,klinefriedman.io,https://linkedin.com/company/kline-friedman,@klinefriedma1676,Catherine Morales,Cloud Computing,70.0
365,Nelson-Cruz,EdTech,Adaptive learning paths personalized by AI for every student.,2023,"Marshburgh, Bouvet Island (Bouvetoya)",Series A,9.56,73.0,nelsoncruz.ai,https://linkedin.com/company/nelson-cruz,@nelsoncruz7598,Nicholas Jarvis,Machine Learning,10.0
366,Garcia PLC,AI & Machine Learning,AI-powered predictive analytics to anticipate future trends.,2025,"Phammouth, Cocos (Keeling) Islands",Private Equity,136.49,1873.0,garciaplc.co,https://linkedin.com/company/garcia-plc,@garciaplc207,Peggy Carr,Computer Vision,20.0
367,"Hobbs, Acosta and Snow",Blockchain,NFT marketplaces enabling creator-first economies.,2022,"Knappville, Tuvalu",Pre-Seed,0.19,4.0,hobbsacostaandsnow.co,https://linkedin.com/company/hobbs-acosta-and-snow,@hobbsacostaa6376,Angel Green,NLP,70.0
368,Smith-Oneill,Food Tech,AI copilots for restaurant menu optimization.,2011,"Lake Morgan, Maldives",,,153.0,smithoneill.io,https://linkedin.com/company/smith-oneill,@smithoneill5906,Mercedes Davis,Quantum Computing,10.0
369,"Barber, Olson and Alvarado",Social Media,Privacy-first social discovery with meaningful connections.,2013,"Hernandezside, Uganda",Series D,196.17,448.0,barberolsonandalvarado.com,https://linkedin.com/company/barber-olson-and-alvarado,@barberolsona689,Amy Schneider MD,IoT,
370,Christian-Booth,EdTech,AI tutors providing one-on-one digital mentorship.,2018,"Port Travisbury, Greenland",IPO,997.28,789.0,christianbooth.ai,https://linkedin.com/company/christian-booth,@christianboo2522,Amber Walker,Deep Learning,20.0
371,"Gray, Montoya and Miller",PropTech,Sensor-driven fire safety systems.,2022,"Solismouth, Benin",Series D,55.34,941.0,graymontoyaandmiller.io,https://linkedin.com/company/gray-montoya-and-miller,@graymontoyaa4108,Jillian Wilson,Augmented Reality,10.0
372,Mcgee-Smith,Food Tech,Alternative proteins optimized with biotech fermentation.,2013,"Gutierrezside, Mexico",Series B,26.18,242.0,mcgeesmith.tech,https://linkedin.com/company/mcgee-smith,@mcgeesmith9086,Brandon Munoz,Cloud Computing,30.0
373,"Walsh, Wu and Hart",SaaS,Self-healing SaaS infrastructure minimizing downtime risks.,2008,"Clementsstad, Sweden",Series D,176.49,1104.0,walshwuandhart.com,https://linkedin.com/company/walsh-wu-and-hart,@walshwuandha5966,Daniel Gibson,Big Data,50.0
374,"Saunders, Greene and Moran",Mobility,Dynamic carpooling platforms reducing fuel usage.,2023,"Jenniferville, Bhutan",Series B,17.71,134.0,saundersgreeneandmoran.app,https://linkedin.com/company/saunders-greene-and-moran,@saundersgree5277,Courtney Peterson,IoT,20.0
375,"Brandt, Carter and Boyd",HealthTech,Predictive outbreak detection using real-time models.,2011,"North Pennyfort, Burundi",Pre-Seed,0.19,7.0,brandtcarterandboyd.app,https://linkedin.com/company/brandt-carter-and-boyd,@brandtcarter8027,Natalie Ortiz,Deep Learning,60.0
376,Carr-Lopez,AI & Machine Learning,Autonomous decision-making frameworks powered by ML.,2023,"Lewisborough, Saint Barthelemy",Series B,51.6,193.0,carrlopez.com,https://linkedin.com/company/carr-lopez,@carrlopez5914,Peter Williams,Quantum Computing,120.0
377,"Monroe, Chapman and Barton",Gaming,AI NPCs that evolve with player behavior.,2010,"Ellisshire, Zimbabwe",,,40.0,monroechapmanandbarton.io,https://linkedin.com/company/monroe-chapman-and-barton,@monroechapma8512,Tracey Smith,Computer Vision,20.0
378,"Williams, Mcconnell and Roberson",EdTech,Coding platforms gamifying skill acquisition.,2013,"Glassburgh, Puerto Rico",Series B,37.91,226.0,williamsmcconnellandroberson.app,https://linkedin.com/company/williams-mcconnell-and-roberson,@williamsmcco9447,Monica Anderson,Big Data,90.0
379,Sandoval-Obrien,FinTech,AML/KYC powered by AI identity verification.,2020,"Williamfurt, Italy",Series A,13.84,86.0,sandovalobrien.co,https://linkedin.com/company/sandoval-obrien,@sandovalobri5773,Sydney Farmer,Deep Learning,80.0
380,Sanders-Cooper,Cybersecurity,AI-driven zero-trust orchestration across hybrid environments.,2018,"Shawnberg, Burundi",Private Equity,303.42,1768.0,sanderscooper.tech,https://linkedin.com/company/sanders-cooper,@sanderscoope4163,Michael Goodman,Cybersecurity,90.0
381,Cameron-Kelley,Food Tech,Sustainable supply chain routing with AI logistics.,2008,"Jenniferside, Norfolk Island",Series C,149.21,253.0,cameronkelley.io,https://linkedin.com/company/cameron-kelley,,Daniel Klein,Artificial Intelligence,80.0
382,"Reed, Chambers and Zavala",SaaS,Open-source friendly SaaS offering hybrid flexibility.,2025,"New Amy, Northern Mariana Islands",,,293.0,reedchambersandzavala.io,https://linkedin.com/company/reed-chambers-and-zavala,@reedchambers1545,Brian Bell,Quantum Computing,10.0
383,Aguilar-Bender,IoT,IoT-connected fleet logistics for real-time tracking.,2016,"Craigside, France",Series B,14.6,85.0,aguilarbender.app,https://linkedin.com/company/aguilar-bender,@aguilarbende1265,Jenny Smith,5G,80.0
384,Johnson and Sons,Food Tech,Sustainable supply chain routing with AI logistics.,2017,"Lake Brianview, Sao Tome and Principe",Seed,,14.0,johnsonandsons.com,https://linkedin.com/company/johnson-and-sons,@johnsonandso917,Victoria Vega,Virtual Reality,80.0
385,Franco Ltd,Mobility,Crowdsourced data improving real-time navigation systems.,2008,"Jamesside, Antigua and Barbuda",Series B,41.61,,francoltd.tech,https://linkedin.com/company/franco-ltd,@francoltd675,Jesse Jensen,Machine Learning,80.0
386,"Stevenson, Hancock and Newton",EdTech,AI-powered peer review systems improving feedback.,2020,"Youngport, Puerto Rico",Pre-Seed,1.14,2.0,stevensonhancockandnewton.io,https://linkedin.com/company/stevenson-hancock-and-newton,@stevensonhan7077,Tammy Hughes,Deep Learning,70.0
387,"Edwards, Arnold and Smith",Blockchain,AI-orchestrated smart contracts for adaptive execution.,2020,"Jamesmouth, Switzerland",Pre-Seed,0.63,3.0,edwardsarnoldandsmith.io,https://linkedin.com/company/edwards-arnold-and-smith,@edwardsarnol7880,Mark Mckinney,5G,40.0
388,Fischer-Payne,Gaming,Neuro-gaming using biofeedback for adaptive mechanics.,2015,"Port Jenny, Congo",,,,fischerpayne.co,https://linkedin.com/company/fischer-payne,@fischerpayne5299,Christopher Fleming,Virtual Reality,15.0
389,Rivers Ltd,EdTech,AI writing assistants enhancing student essays.,2008,"South Billyview, Moldova",Series D,92.31,1041.0,riversltd.co,https://linkedin.com/company/rivers-ltd,@riversltd2390,Christopher Singleton,Blockchain,150.0
390,Rivera Ltd,E-commerce,Voice-enabled shopping experiences integrated into marketplaces.,2009,"North Eric, Gibraltar",Seed,3.2,,riveraltd.ai,https://linkedin.com/company/rivera-ltd,@riveraltd226,Patricia Garrett,Deep Learning,80.0
391,"Turner, Tyler and Pierce",AI & Machine Learning,AI-driven fraud detection at enterprise scale.,2025,"Port Jasminehaven, Cyprus",Series B,37.32,170.0,turnertylerandpierce.co,https://linkedin.com/company/turner-tyler-and-pierce,@turnertylera2316,Kelly Hartman,Blockchain,5.0
392,Perry PLC,SaaS,Composable SaaS infrastructure enabling modular innovation.,2014,"Davisbury, Turks and Caicos Islands",Pre-Seed,0.95,,perryplc.app,https://linkedin.com/company/perry-plc,@perryplc137,Gary Ward,Deep Learning,15.0
393,Clements PLC,Social Media,Creator monetization tools built for community growth.,2017,"Barajastown, Brazil",Seed,3.33,14.0,clementsplc.tech,https://linkedin.com/company/clements-plc,@clementsplc1632,Jill Conway,Blockchain,80.0
394,"Sellers, Sanchez and Williams",EdTech,Predictive dropout prevention powered by analytics.,2008,"Patrickville, Hungary",IPO,,2797.0,sellerssanchezandwilliams.ai,,@sellerssanch8028,Nathaniel Johnson,Big Data,100.0
395,"Short, Brooks and Lang",E-commerce,Direct-to-consumer storefronts empowered by intelligent AI insights.,2024,"Tuckerport, Ukraine",Series C,37.44,298.0,shortbrooksandlang.com,https://linkedin.com/company/short-brooks-and-lang,@shortbrooksa9093,Erica Miller,Augmented Reality,60.0
396,Jackson PLC,HealthTech,Blockchain-enabled secure medical record exchange.,2015,"Lake Cameronborough, Tonga",Private Equity,307.8,839.0,jacksonplc.tech,https://linkedin.com/company/jackson-plc,@jacksonplc5396,Sara Harris,Machine Learning,150.0
397,"Johns, Figueroa and Graham",CleanTech,Water efficiency monitoring powered by IoT sensors.,2017,"Lake Ginatown, Kuwait",Series B,54.93,140.0,johnsfigueroaandgraham.io,https://linkedin.com/company/johns-figueroa-and-graham,@johnsfiguero9255,Amanda Jones,Augmented Reality,30.0
398,Bauer PLC,FinTech,Microfinance solutions powered by mobile-first platforms.,2008,"New Lorraineview, Ireland",Series D,270.03,621.0,bauerplc.ai,https://linkedin.com/company/bauer-plc,@bauerplc7259,Mark Hamilton,Deep Learning,60.0
399,Price Inc,AI & Machine Learning,AI solutions to optimize energy efficiency and sustainability.,2015,"Lake Jenniferland, Saudi Arabia",Series C,57.71,,priceinc.com,https://linkedin.com/company/price-inc,@priceinc7809,Amber Charles,Cybersecurity,25.0
400,Reilly-Rodriguez,E-commerce,Cloud-native storefronts scaling with customer demand.,2023,"Catherineport, Serbia",Private Equity,,266.0,reillyrodriguez.co,https://linkedin.com/company/reilly-rodriguez,@reillyrodrig246,Jane Short,Deep Learning,60.0
401,Wells PLC,EdTech,Gamified education experiences driving stronger retention.,2013,"East Julie, South Africa",Series B,59.28,155.0,wellsplc.app,https://linkedin.com/company/wells-plc,@wellsplc5324,Kimberly Choi,Cybersecurity,150.0
402,Evans Ltd,Gaming,Open-world games enhanced by generative landscapes.,2018,"Susantown, Micronesia",Private Equity,472.61,1298.0,evansltd.tech,https://linkedin.com/company/evans-ltd,@evansltd631,Brenda Williams,Virtual Reality,20.0
403,"Carlson, Medina and Arroyo",EdTech,AI-driven content recommendation for e-learning systems.,2009,"Jasonstad, Croatia",,,265.0,carlsonmedinaandarroyo.app,https://linkedin.com/company/carlson-medina-and-arroyo,@carlsonmedin808,Matthew Hunt,Big Data,40.0
404,White PLC,Mobility,Digital twins of cities simulating traffic flows.,2021,"Jamesburgh, Paraguay",IPO,927.13,1465.0,whiteplc.co,https://linkedin.com/company/white-plc,@whiteplc7401,Sarah York,Computer Vision,15.0
405,"Murray, Dunn and Roberts",IoT,Autonomous factory floors powered by IoT robotics.,2020,"West Coreyshire, Libyan Arab Jamahiriya",,,231.0,murraydunnandroberts.com,https://linkedin.com/company/murray-dunn-and-roberts,@murraydunnan2931,Heather Lambert,Virtual Reality,150.0
406,Garcia PLC,Blockchain,Digital twins anchored to immutable chain records.,2013,"East Louismouth, Greenland",Series C,44.83,,garciaplc.co,https://linkedin.com/company/garcia-plc,@garciaplc5947,Elizabeth Silva,Machine Learning,15.0
407,"Knight, Aguirre and Benjamin",CleanTech,AI copilots for sustainable manufacturing operations.,2025,"North Lawrence, Solomon Islands",Series A,15.83,82.0,knightaguirreandbenjamin.app,https://linkedin.com/company/knight-aguirre-and-benjamin,@knightaguirr2460,Patrick Graham,5G,30.0
408,Taylor-Quinn,Cybersecurity,Context-aware access policies powered by ML.,2022,"Fordstad, Singapore",Series C,51.68,591.0,taylorquinn.io,https://linkedin.com/company/taylor-quinn,,Juan Thompson,Computer Vision,60.0
409,"Miller, Ramirez and Serrano",PropTech,AI predictive analytics for property underwriting.,2014,"West Jessica, Niue",IPO,528.14,950.0,millerramirezandserrano.tech,https://linkedin.com/company/miller-ramirez-and-serrano,@millerramire9833,Bernard Smith,Artificial Intelligence,5.0
410,"Welch, Hess and Riley",CleanTech,Battery analytics that extend lifetime and safety.,2013,"North Andrea, Mayotte",Series B,,39.0,welchhessandriley.io,https://linkedin.com/company/welch-hess-and-riley,@welchhessand532,Kimberly Valdez,Edge Computing,70.0
411,Diaz and Sons,HealthTech,Genetic risk analysis with AI-based interpretation.,2025,"Dennishaven, Malawi",Series C,,396.0,diazandsons.ai,https://linkedin.com/company/diaz-and-sons,@diazandsons588,Jack Smith,Deep Learning,15.0
412,Charles PLC,Mobility,Haptic steering alerts for enhanced driver safety.,2025,"Port Willie, Kiribati",Private Equity,,449.0,charlesplc.app,https://linkedin.com/company/charles-plc,@charlesplc4497,Keith Knight,Machine Learning,80.0
413,Fitzgerald Group,Gaming,Tokenized achievements enabling player asset tradability.,2024,"Billyfort, Djibouti",Seed,2.55,27.0,fitzgeraldgroup.app,https://linkedin.com/company/fitzgerald-group,@fitzgeraldgr4706,Jacob Williams,Artificial Intelligence,120.0
414,Holmes LLC,Gaming,Gamified fitness powered by AR and motion tracking.,2023,"Harrisonmouth, Turkmenistan",Series A,13.37,33.0,holmesllc.tech,,@holmesllc3813,William Nguyen,Blockchain,70.0
415,"Schmitt, Schultz and Hill",Social Media,Social currencies incentivizing participation and loyalty.,2014,"Bethshire, China",Seed,5.0,12.0,schmittschultzandhill.ai,https://linkedin.com/company/schmitt-schultz-and-hill,,James Matthews,Cybersecurity,40.0
416,Black Group,PropTech,Real-time occupancy analytics for workspace design.,2024,"New Richard, Svalbard & Jan Mayen Islands",Series C,122.04,,blackgroup.ai,https://linkedin.com/company/black-group,@blackgroup5593,Katelyn Olson,Machine Learning,100.0
417,"Smith, Macias and Gonzales",HealthTech,Cognitive AI agents for medical knowledge queries.,2023,"North Xavier, Fiji",Series D,249.31,693.0,smithmaciasandgonzales.io,https://linkedin.com/company/smith-macias-and-gonzales,@smithmaciasa7547,Cody Cox,NLP,80.0
418,"Montoya, Guerrero and Perry",AI & Machine Learning,Neural networks that process unstructured datasets seamlessly.,2018,"Jenniferfort, Peru",,,10.0,montoyaguerreroandperry.io,https://linkedin.com/company/montoya-guerrero-and-perry,@montoyaguerr9461,Daniel Martin,Edge Computing,80.0
419,Johnson-Williams,HealthTech,Cognitive AI agents for medical knowledge queries.,2020,"East Crystal, Armenia",Pre-Seed,1.27,7.0,johnsonwilliams.io,https://linkedin.com/company/johnson-williams,@johnsonwilli9752,Bridget Jackson,Computer Vision,20.0
420,Black Group,E-commerce,Social-commerce integrations accelerating community-driven sales.,2021,"Lake Jessicaport, Yemen",Pre-Seed,,6.0,blackgroup.co,https://linkedin.com/company/black-group,@blackgroup4959,Jerry Haney,Virtual Reality,40.0
421,Jackson-Greer,AI & Machine Learning,Transforming raw data into strategic intelligence with ML.,2022,"Port Brandi, Seychelles",Series B,49.95,69.0,jacksongreer.io,https://linkedin.com/company/jackson-greer,@jacksongreer5573,Matthew Baker,Cybersecurity,
422,"Jennings, Nielsen and Carlson",HealthTech,Blockchain-enabled secure medical record exchange.,2012,"East Nicholasberg, Botswana",Seed,0.42,29.0,jenningsnielsenandcarlson.tech,https://linkedin.com/company/jennings-nielsen-and-carlson,@jenningsniel1898,Joseph Blankenship,Cybersecurity,5.0
423,"Barnes, Hernandez and Davis",Mobility,Hyperloop route optimization powered by simulation data.,2009,"Valenzuelaton, Turkey",Series D,,963.0,barneshernandezanddavis.ai,https://linkedin.com/company/barnes-hernandez-and-davis,@barneshernan369,Kathy Wilson,Machine Learning,70.0
424,Hopkins-Winters,SaaS,SaaS with real-time collaboration natively built in.,2022,"Port Erikachester, Mali",,,140.0,hopkinswinters.io,https://linkedin.com/company/hopkins-winters,@hopkinswinte2581,Shaun Wolfe,Computer Vision,60.0
425,Perez-Lang,FinTech,Neobanks delivering tailored financial ecosystems.,2025,"Bellshire, Bolivia",,,73.0,perezlang.app,https://linkedin.com/company/perez-lang,@perezlang4642,David Cannon,NLP,50.0
426,Campbell PLC,CleanTech,Water efficiency monitoring powered by IoT sensors.,2008,"Scotttown, Russian Federation",Pre-Seed,1.03,,campbellplc.com,https://linkedin.com/company/campbell-plc,@campbellplc1411,Adrienne Mills,Cloud Computing,120.0
427,"Smith, Pena and Watts",Social Media,AR-enabled social shopping embedded in feeds.,2019,"Robertville, Cape Verde",IPO,835.7,4670.0,smithpenaandwatts.com,https://linkedin.com/company/smith-pena-and-watts,@smithpenaand7630,Kevin Green,Edge Computing,25.0
428,"Henderson, Diaz and Hill",FinTech,Central bank digital currency infrastructure solutions.,2022,"Fischerchester, Micronesia",Series C,143.69,,hendersondiazandhill.tech,https://linkedin.com/company/henderson-diaz-and-hill,@hendersondia4228,Karen Wood,Cloud Computing,90.0
429,"Webb, Hinton and Lane",PropTech,PropTech-powered fractional ownership platforms.,2023,"Fitzgeraldville, San Marino",Series D,,559.0,webbhintonandlane.co,https://linkedin.com/company/webb-hinton-and-lane,@webbhintonan7557,Richard Avery,Edge Computing,30.0
430,Lewis Group,CleanTech,Smart lighting solutions reducing urban energy waste.,2011,"Laurenton, Central African Republic",Private Equity,342.25,1291.0,lewisgroup.co,https://linkedin.com/company/lewis-group,@lewisgroup6567,Mark Brock,Machine Learning,120.0
431,Ruiz PLC,Blockchain,Token-curated registries ensuring trusted datasets.,2014,"Davisview, Cyprus",Seed,3.06,15.0,ruizplc.tech,https://linkedin.com/company/ruiz-plc,@ruizplc5607,Lee Ramsey,IoT,50.0
432,Mendez-Meyer,Food Tech,Robotics automating food preparation in cloud kitchens.,2022,"Port Lorifort, Kazakhstan",IPO,187.89,2823.0,mendezmeyer.co,https://linkedin.com/company/mendez-meyer,@mendezmeyer1141,Samuel Galvan,5G,20.0
433,"Mitchell, Johnson and Greene",E-commerce,Augmented reality try-ons to bridge digital and physical shopping.,2014,"New Gavin, Argentina",Pre-Seed,1.34,1.0,mitchelljohnsonandgreene.io,https://linkedin.com/company/mitchell-johnson-and-greene,@mitchelljohn2445,Matthew Cantrell,Cloud Computing,150.0
